"partner","geo","time","values"
"HU","RO",2015-01-01,4
"HU","SE",2015-01-01,3792
"HU","SI",2015-01-01,29
"HU","SK",2015-01-01,501
"IE","AT",2015-01-01,3
"IE","BG",2015-01-01,0
"IE","CH",2015-01-01,0
"IE","DE",2015-01-01,4
"IE","EE",2015-01-01,0
"IE","EL",2015-01-01,0
"IE","FI",2015-01-01,1
"IE","FR",2015-01-01,0
"IE","IE",2015-01-01,0
"IE","IT",2015-01-01,2
"IE","LU",2015-01-01,1
"IE","LV",2015-01-01,0
"IE","MT",2015-01-01,0
"IE","NO",2015-01-01,1
"IE","PL",2015-01-01,0
"IE","PT",2015-01-01,0
"IE","RO",2015-01-01,0
"IE","SE",2015-01-01,3
"IE","SI",2015-01-01,0
"IE","SK",2015-01-01,0
"IS","AT",2015-01-01,0
"IS","BG",2015-01-01,0
"IS","CH",2015-01-01,5
"IS","DE",2015-01-01,1
"IS","EE",2015-01-01,0
"IS","EL",2015-01-01,0
"IS","FI",2015-01-01,0
"IS","FR",2015-01-01,2
"IS","IE",2015-01-01,0
"IS","IT",2015-01-01,0
"IS","LU",2015-01-01,0
"IS","LV",2015-01-01,0
"IS","MT",2015-01-01,0
"IS","NO",2015-01-01,0
"IS","PL",2015-01-01,0
"IS","PT",2015-01-01,0
"IS","RO",2015-01-01,0
"IS","SE",2015-01-01,0
"IS","SI",2015-01-01,0
"IS","SK",2015-01-01,0
"IT","AT",2015-01-01,1340
"IT","BG",2015-01-01,1
"IT","CH",2015-01-01,11073
"IT","DE",2015-01-01,9116
"IT","EE",2015-01-01,0
"IT","EL",2015-01-01,12
"IT","FI",2015-01-01,216
"IT","FR",2015-01-01,2064
"IT","IE",2015-01-01,10
"IT","IT",2015-01-01,0
"IT","LU",2015-01-01,57
"IT","LV",2015-01-01,0
"IT","MT",2015-01-01,16
"IT","NO",2015-01-01,716
"IT","PL",2015-01-01,14
"IT","PT",2015-01-01,0
"IT","RO",2015-01-01,7
"IT","SE",2015-01-01,1393
"IT","SI",2015-01-01,8
"IT","SK",2015-01-01,3
"LI","AT",2015-01-01,1
"LI","BG",2015-01-01,0
"LI","CH",2015-01-01,2
"LI","DE",2015-01-01,1
"LI","EE",2015-01-01,0
"LI","EL",2015-01-01,0
"LI","FI",2015-01-01,0
"LI","FR",2015-01-01,4
"LI","IE",2015-01-01,0
"LI","IT",2015-01-01,1
"LI","LU",2015-01-01,0
"LI","LV",2015-01-01,0
"LI","MT",2015-01-01,0
"LI","NO",2015-01-01,0
"LI","PL",2015-01-01,0
"LI","PT",2015-01-01,0
"LI","RO",2015-01-01,0
"LI","SE",2015-01-01,0
"LI","SI",2015-01-01,0
"LI","SK",2015-01-01,0
"LT","AT",2015-01-01,31
"LT","BG",2015-01-01,0
"LT","CH",2015-01-01,43
"LT","DE",2015-01-01,288
"LT","EE",2015-01-01,1
"LT","EL",2015-01-01,1
"LT","FI",2015-01-01,15
"LT","FR",2015-01-01,62
"LT","IE",2015-01-01,0
"LT","IT",2015-01-01,74
"LT","LU",2015-01-01,8
"LT","LV",2015-01-01,3
"LT","MT",2015-01-01,4
"LT","NO",2015-01-01,25
"LT","PL",2015-01-01,15
"LT","PT",2015-01-01,18
"LT","RO",2015-01-01,0
"LT","SE",2015-01-01,111
"LT","SI",2015-01-01,0
"LT","SK",2015-01-01,0
"LU","AT",2015-01-01,9
"LU","BG",2015-01-01,0
"LU","CH",2015-01-01,12
"LU","DE",2015-01-01,49
"LU","EE",2015-01-01,0
"LU","EL",2015-01-01,0
"LU","FI",2015-01-01,1
"LU","FR",2015-01-01,37
"LU","IE",2015-01-01,0
"LU","IT",2015-01-01,0
"LU","LU",2015-01-01,0
"LU","LV",2015-01-01,0
"LU","MT",2015-01-01,0
"LU","NO",2015-01-01,1
"LU","PL",2015-01-01,1
"LU","PT",2015-01-01,0
"LU","RO",2015-01-01,0
"LU","SE",2015-01-01,8
"LU","SI",2015-01-01,0
"LU","SK",2015-01-01,1
"LV","AT",2015-01-01,3
"LV","BG",2015-01-01,0
"LV","CH",2015-01-01,15
"LV","DE",2015-01-01,66
"LV","EE",2015-01-01,10
"LV","EL",2015-01-01,1
"LV","FI",2015-01-01,9
"LV","FR",2015-01-01,17
"LV","IE",2015-01-01,0
"LV","IT",2015-01-01,2
"LV","LU",2015-01-01,4
"LV","LV",2015-01-01,0
"LV","MT",2015-01-01,0
"LV","NO",2015-01-01,2
"LV","PL",2015-01-01,2
"LV","PT",2015-01-01,1
"LV","RO",2015-01-01,0
"LV","SE",2015-01-01,42
"LV","SI",2015-01-01,0
"LV","SK",2015-01-01,2
"MT","AT",2015-01-01,7
"MT","BG",2015-01-01,0
"MT","CH",2015-01-01,22
"MT","DE",2015-01-01,143
"MT","EE",2015-01-01,0
"MT","EL",2015-01-01,3
"MT","FI",2015-01-01,5
"MT","FR",2015-01-01,79
"MT","IE",2015-01-01,0
"MT","IT",2015-01-01,49
"MT","LU",2015-01-01,0
"MT","LV",2015-01-01,1
"MT","MT",2015-01-01,1
"MT","NO",2015-01-01,11
"MT","PL",2015-01-01,0
"MT","PT",2015-01-01,0
"MT","RO",2015-01-01,0
"MT","SE",2015-01-01,93
"MT","SI",2015-01-01,0
"MT","SK",2015-01-01,0
"NL","AT",2015-01-01,59
"NL","BG",2015-01-01,1
"NL","CH",2015-01-01,115
"NL","DE",2015-01-01,712
"NL","EE",2015-01-01,0
"NL","EL",2015-01-01,37
"NL","FI",2015-01-01,18
"NL","FR",2015-01-01,152
"NL","IE",2015-01-01,2
"NL","IT",2015-01-01,59
"NL","LU",2015-01-01,13
"NL","LV",2015-01-01,0
"NL","MT",2015-01-01,11
"NL","NO",2015-01-01,21
"NL","PL",2015-01-01,4
"NL","PT",2015-01-01,1
"NL","RO",2015-01-01,0
"NL","SE",2015-01-01,129
"NL","SI",2015-01-01,2
"NL","SK",2015-01-01,2
"NO","AT",2015-01-01,51
"NO","BG",2015-01-01,3
"NO","CH",2015-01-01,62
"NO","DE",2015-01-01,501
"NO","EE",2015-01-01,0
"NO","EL",2015-01-01,40
"NO","FI",2015-01-01,40
"NO","FR",2015-01-01,161
"NO","IE",2015-01-01,0
"NO","IT",2015-01-01,159
"NO","LU",2015-01-01,6
"NO","LV",2015-01-01,1
"NO","MT",2015-01-01,3
"NO","NO",2015-01-01,0
"NO","PL",2015-01-01,7
"NO","PT",2015-01-01,0
"NO","RO",2015-01-01,2
"NO","SE",2015-01-01,337
"NO","SI",2015-01-01,0
"NO","SK",2015-01-01,1
"PL","AT",2015-01-01,427
"PL","BG",2015-01-01,0
"PL","CH",2015-01-01,137
"PL","DE",2015-01-01,3728
"PL","EE",2015-01-01,0
"PL","EL",2015-01-01,1
"PL","FI",2015-01-01,27
"PL","FR",2015-01-01,737
"PL","IE",2015-01-01,10
"PL","IT",2015-01-01,287
"PL","LU",2015-01-01,13
"PL","LV",2015-01-01,2
"PL","MT",2015-01-01,0
"PL","NO",2015-01-01,62
"PL","PL",2015-01-01,0
"PL","PT",2015-01-01,33
"PL","RO",2015-01-01,1
"PL","SE",2015-01-01,212
"PL","SI",2015-01-01,0
"PL","SK",2015-01-01,0
"PT","AT",2015-01-01,4
"PT","BG",2015-01-01,0
"PT","CH",2015-01-01,29
"PT","DE",2015-01-01,60
"PT","EE",2015-01-01,1
"PT","EL",2015-01-01,0
"PT","FI",2015-01-01,10
"PT","FR",2015-01-01,140
"PT","IE",2015-01-01,0
"PT","IT",2015-01-01,12
"PT","LU",2015-01-01,1
"PT","LV",2015-01-01,0
"PT","MT",2015-01-01,1
"PT","NO",2015-01-01,4
"PT","PL",2015-01-01,1
"PT","PT",2015-01-01,0
"PT","RO",2015-01-01,0
"PT","SE",2015-01-01,11
"PT","SI",2015-01-01,0
"PT","SK",2015-01-01,0
"RO","AT",2015-01-01,67
"RO","BG",2015-01-01,0
"RO","CH",2015-01-01,15
"RO","DE",2015-01-01,332
"RO","EE",2015-01-01,0
"RO","EL",2015-01-01,2
"RO","FI",2015-01-01,6
"RO","FR",2015-01-01,35
"RO","IE",2015-01-01,1
"RO","IT",2015-01-01,30
"RO","LU",2015-01-01,0
"RO","LV",2015-01-01,0
"RO","MT",2015-01-01,0
"RO","NO",2015-01-01,8
"RO","PL",2015-01-01,0
"RO","PT",2015-01-01,0
"RO","RO",2015-01-01,0
"RO","SE",2015-01-01,40
"RO","SI",2015-01-01,1
"RO","SK",2015-01-01,1
"SE","AT",2015-01-01,90
"SE","BG",2015-01-01,6
"SE","CH",2015-01-01,114
"SE","DE",2015-01-01,1298
"SE","EE",2015-01-01,5
"SE","EL",2015-01-01,166
"SE","FI",2015-01-01,165
"SE","FR",2015-01-01,303
"SE","IE",2015-01-01,2
"SE","IT",2015-01-01,122
"SE","LU",2015-01-01,11
"SE","LV",2015-01-01,1
"SE","MT",2015-01-01,5
"SE","NO",2015-01-01,153
"SE","PL",2015-01-01,3
"SE","PT",2015-01-01,0
"SE","RO",2015-01-01,0
"SE","SE",2015-01-01,0
"SE","SI",2015-01-01,3
"SE","SK",2015-01-01,3
"SI","AT",2015-01-01,488
"SI","BG",2015-01-01,0
"SI","CH",2015-01-01,319
"SI","DE",2015-01-01,39
"SI","EE",2015-01-01,0
"SI","EL",2015-01-01,0
"SI","FI",2015-01-01,2
"SI","FR",2015-01-01,28
"SI","IE",2015-01-01,0
"SI","IT",2015-01-01,7
"SI","LU",2015-01-01,0
"SI","LV",2015-01-01,0
"SI","MT",2015-01-01,0
"SI","NO",2015-01-01,21
"SI","PL",2015-01-01,0
"SI","PT",2015-01-01,2
"SI","RO",2015-01-01,0
"SI","SE",2015-01-01,9
"SI","SI",2015-01-01,0
"SI","SK",2015-01-01,0
"SK","AT",2015-01-01,37
"SK","BG",2015-01-01,0
"SK","CH",2015-01-01,17
"SK","DE",2015-01-01,110
"SK","EE",2015-01-01,0
"SK","EL",2015-01-01,0
"SK","FI",2015-01-01,2
"SK","FR",2015-01-01,24
"SK","IE",2015-01-01,1
"SK","IT",2015-01-01,19
"SK","LU",2015-01-01,0
"SK","LV",2015-01-01,0
"SK","MT",2015-01-01,0
"SK","NO",2015-01-01,3
"SK","PL",2015-01-01,0
"SK","PT",2015-01-01,0
"SK","RO",2015-01-01,0
"SK","SE",2015-01-01,20
"SK","SI",2015-01-01,0
"SK","SK",2015-01-01,0
"TOTAL","AT",2015-01-01,16935
"TOTAL","BG",2015-01-01,66
"TOTAL","CH",2015-01-01,17377
"TOTAL","DE",2015-01-01,44288
"TOTAL","EE",2015-01-01,24
"TOTAL","EL",2015-01-01,1117
"TOTAL","FI",2015-01-01,1598
"TOTAL","FR",2015-01-01,11657
"TOTAL","IE",2015-01-01,617
"TOTAL","IT",2015-01-01,4977
"TOTAL","LU",2015-01-01,443
"TOTAL","LV",2015-01-01,14
"TOTAL","MT",2015-01-01,101
"TOTAL","NO",2015-01-01,3471
"TOTAL","PL",2015-01-01,225
"TOTAL","PT",2015-01-01,98
"TOTAL","RO",2015-01-01,88
"TOTAL","SE",2015-01-01,11254
"TOTAL","SI",2015-01-01,92
"TOTAL","SK",2015-01-01,549
"UK","AT",2015-01-01,41
"UK","BG",2015-01-01,23
"UK","CH",2015-01-01,46
"UK","DE",2015-01-01,104
"UK","EE",2015-01-01,0
"UK","EL",2015-01-01,20
"UK","FI",2015-01-01,12
"UK","FR",2015-01-01,113
"UK","IE",2015-01-01,510
"UK","IT",2015-01-01,0
"UK","LU",2015-01-01,1
"UK","LV",2015-01-01,0
"UK","MT",2015-01-01,0
"UK","NO",2015-01-01,14
"UK","PL",2015-01-01,3
"UK","PT",2015-01-01,3
"UK","RO",2015-01-01,1
"UK","SE",2015-01-01,61
"UK","SI",2015-01-01,1
"UK","SK",2015-01-01,0
"AT","AT",2014-01-01,0
"AT","BE",2014-01-01,63
"AT","BG",2014-01-01,0
"AT","CH",2014-01-01,266
"AT","DE",2014-01-01,1086
"AT","DK",2014-01-01,103
"AT","EE",2014-01-01,0
"AT","EL",2014-01-01,51
"AT","FR",2014-01-01,225
"AT","HR",2014-01-01,16
"AT","HU",2014-01-01,28
"AT","IE",2014-01-01,0
"AT","IT",2014-01-01,264
"AT","LI",2014-01-01,7
"AT","LU",2014-01-01,16
"AT","LV",2014-01-01,0
"AT","MT",2014-01-01,0
"AT","NO",2014-01-01,55
"AT","RO",2014-01-01,8
"AT","SE",2014-01-01,213
"AT","SI",2014-01-01,7
"AT","SK",2014-01-01,12
"AT","UK",2014-01-01,93
"BE","AT",2014-01-01,41
"BE","BE",2014-01-01,0
"BE","BG",2014-01-01,0
"BE","CH",2014-01-01,151
"BE","DE",2014-01-01,2130
"BE","DK",2014-01-01,46
"BE","EE",2014-01-01,0
"BE","EL",2014-01-01,16
"BE","FR",2014-01-01,418
"BE","HR",2014-01-01,1
"BE","HU",2014-01-01,2
"BE","IE",2014-01-01,0
"BE","IT",2014-01-01,361
"BE","LI",2014-01-01,0
"BE","LU",2014-01-01,32
"BE","LV",2014-01-01,0
"BE","MT",2014-01-01,0
"BE","NO",2014-01-01,41
"BE","RO",2014-01-01,3
"BE","SE",2014-01-01,167
"BE","SI",2014-01-01,1
"BE","SK",2014-01-01,1
"BE","UK",2014-01-01,97
"BG","AT",2014-01-01,1115
"BG","BE",2014-01-01,77
"BG","BG",2014-01-01,0
"BG","CH",2014-01-01,155
"BG","DE",2014-01-01,4399
"BG","DK",2014-01-01,205
"BG","EE",2014-01-01,0
"BG","EL",2014-01-01,149
"BG","FR",2014-01-01,119
"BG","HR",2014-01-01,47
"BG","HU",2014-01-01,1585
"BG","IE",2014-01-01,0
"BG","IT",2014-01-01,148
"BG","LI",2014-01-01,1
"BG","LU",2014-01-01,3
"BG","LV",2014-01-01,0
"BG","MT",2014-01-01,0
"BG","NO",2014-01-01,48
"BG","RO",2014-01-01,49
"BG","SE",2014-01-01,269
"BG","SI",2014-01-01,12
"BG","SK",2014-01-01,20
"BG","UK",2014-01-01,60
"CH","AT",2014-01-01,225
"CH","BE",2014-01-01,122
"CH","BG",2014-01-01,0
"CH","CH",2014-01-01,0
"CH","DE",2014-01-01,1701
"CH","DK",2014-01-01,104
"CH","EE",2014-01-01,0
"CH","EL",2014-01-01,74
"CH","FR",2014-01-01,212
"CH","HR",2014-01-01,9
"CH","HU",2014-01-01,8
"CH","IE",2014-01-01,0
"CH","IT",2014-01-01,128
"CH","LI",2014-01-01,7
"CH","LU",2014-01-01,31
"CH","LV",2014-01-01,0
"CH","MT",2014-01-01,0
"CH","NO",2014-01-01,102
"CH","RO",2014-01-01,1
"CH","SE",2014-01-01,329
"CH","SI",2014-01-01,3
"CH","SK",2014-01-01,4
"CH","UK",2014-01-01,40
"CY","AT",2014-01-01,11
"CY","BE",2014-01-01,3
"CY","BG",2014-01-01,0
"CY","CH",2014-01-01,2
"CY","DE",2014-01-01,53
"CY","DK",2014-01-01,6
"CY","EE",2014-01-01,0
"CY","EL",2014-01-01,1
"CY","FR",2014-01-01,15
"CY","HR",2014-01-01,1
"CY","HU",2014-01-01,2
"CY","IE",2014-01-01,0
"CY","IT",2014-01-01,6
"CY","LI",2014-01-01,0
"CY","LU",2014-01-01,0
"CY","LV",2014-01-01,0
"CY","MT",2014-01-01,0
"CY","NO",2014-01-01,8
"CY","RO",2014-01-01,8
"CY","SE",2014-01-01,33
"CY","SI",2014-01-01,1
"CY","SK",2014-01-01,1
"CY","UK",2014-01-01,16
"CZ","AT",2014-01-01,21
"CZ","BE",2014-01-01,13
"CZ","BG",2014-01-01,0
"CZ","CH",2014-01-01,31
"CZ","DE",2014-01-01,166
"CZ","DK",2014-01-01,12
"CZ","EE",2014-01-01,0
"CZ","EL",2014-01-01,0
"CZ","FR",2014-01-01,26
"CZ","HR",2014-01-01,0
"CZ","HU",2014-01-01,0
"CZ","IE",2014-01-01,0
"CZ","IT",2014-01-01,16
"CZ","LI",2014-01-01,0
"CZ","LU",2014-01-01,1
"CZ","LV",2014-01-01,0
"CZ","MT",2014-01-01,0
"CZ","NO",2014-01-01,20
"CZ","RO",2014-01-01,0
"CZ","SE",2014-01-01,57
"CZ","SI",2014-01-01,0
"CZ","SK",2014-01-01,0
"CZ","UK",2014-01-01,6
"DE","AT",2014-01-01,231
"DE","BE",2014-01-01,304
"DE","BG",2014-01-01,5
"DE","CH",2014-01-01,582
"DE","DE",2014-01-01,0
"DE","DK",2014-01-01,206
"DE","EE",2014-01-01,0
"DE","EL",2014-01-01,455
"DE","FR",2014-01-01,511
"DE","HR",2014-01-01,3
"DE","HU",2014-01-01,32
"DE","IE",2014-01-01,3
"DE","IT",2014-01-01,145
"DE","LI",2014-01-01,1
"DE","LU",2014-01-01,55
"DE","LV",2014-01-01,0
"DE","MT",2014-01-01,1
"DE","NO",2014-01-01,209
"DE","RO",2014-01-01,13
"DE","SE",2014-01-01,735
"DE","SI",2014-01-01,3
"DE","SK",2014-01-01,2
"DE","UK",2014-01-01,96
"DK","AT",2014-01-01,19
"DK","BE",2014-01-01,24
"DK","BG",2014-01-01,0
"DK","CH",2014-01-01,41
"DK","DE",2014-01-01,532
"DK","DK",2014-01-01,0
"DK","EE",2014-01-01,0
"DK","EL",2014-01-01,43
"DK","FR",2014-01-01,47
"DK","HR",2014-01-01,1
"DK","HU",2014-01-01,4
"DK","IE",2014-01-01,0
"DK","IT",2014-01-01,104
"DK","LI",2014-01-01,0
"DK","LU",2014-01-01,2
"DK","LV",2014-01-01,0
"DK","MT",2014-01-01,0
"DK","NO",2014-01-01,56
"DK","RO",2014-01-01,1
"DK","SE",2014-01-01,419
"DK","SI",2014-01-01,1
"DK","SK",2014-01-01,0
"DK","UK",2014-01-01,17
"EE","AT",2014-01-01,12
"EE","BE",2014-01-01,22
"EE","BG",2014-01-01,0
"EE","CH",2014-01-01,5
"EE","DE",2014-01-01,9
"EE","DK",2014-01-01,4
"EE","EE",2014-01-01,0
"EE","EL",2014-01-01,0
"EE","FR",2014-01-01,5
"EE","HR",2014-01-01,0
"EE","HU",2014-01-01,0
"EE","IE",2014-01-01,0
"EE","IT",2014-01-01,2
"EE","LI",2014-01-01,0
"EE","LU",2014-01-01,0
"EE","LV",2014-01-01,1
"EE","MT",2014-01-01,0
"EE","NO",2014-01-01,2
"EE","RO",2014-01-01,0
